segment,segment_value,MAE,RMSE,MAPE,sMAPE,n,fold,model
hour,13,0.11305679012345678,0.316377427360439,12.227805952405607,10.06386229514035,1620,2,baseline_lag1
hour,14,0.08047407407407407,0.2414683886475606,9.769425189628802,8.680192728234042,1620,2,baseline_lag1
hour,15,0.07077037037037037,0.21645279472827098,10.796318513743035,8.621637954154348,1620,2,baseline_lag1
hour,16,0.0693283950617284,0.23253231821049236,9.894172626623568,8.246435325307177,1620,2,baseline_lag1
hour,17,0.07063333333333333,0.20344025725407677,9.434927334768307,8.493689997842038,1620,2,baseline_lag1
hour,18,0.11408395061728395,0.31985146243950696,11.852004417974177,10.584177146429697,1620,2,baseline_lag1
hour,19,0.1565740740740741,0.3757796537176383,11.997398061970834,10.841051475489015,1620,2,baseline_lag1
hour,20,0.14386419753086419,0.31243424197029934,8.069605628509903,7.878622515803175,1620,2,baseline_lag1
hour,21,0.08671604938271604,0.22458405998645586,4.642644081356359,4.4117164970881255,1620,2,baseline_lag1
hour,22,0.08859117997616209,0.23345190131258317,6.962075259740757,6.515931744118296,1678,2,baseline_lag1
hour,23,0.04857261904761905,0.15078672260608927,8.11651738810045,6.913847531525776,1680,2,baseline_lag1
day_of_week,0,0.07831597222222222,0.22490432842532052,9.262892453846268,8.00736177629595,5760,2,baseline_lag1
day_of_week,1,0.08417847222222223,0.2396649542127046,10.259159761520063,9.116550876713895,5760,2,baseline_lag1
day_of_week,2,0.08108125000000001,0.23369425657374543,9.717421252992473,8.601648148360427,5760,2,baseline_lag1
day_of_week,3,0.07072708333333333,0.20526038679903358,8.883934345045846,7.783674362427797,5760,2,baseline_lag1
day_of_week,4,0.07935381944444445,0.23591791033464726,9.25310910340019,8.233041953238843,5760,2,baseline_lag1
day_of_week,5,0.07426829268292683,0.20682683001081725,9.159074944149207,8.234503452298279,4674,2,baseline_lag1
day_of_week,6,0.08863263888888889,0.2564036856209364,10.633169663031245,9.305516405387547,5760,2,baseline_lag1
month,8,0.0954803965750338,0.2588059227165563,9.913944850829903,9.067844953507263,4438,2,baseline_lag1
month,9,0.07763461317392803,0.226264253126265,9.568548791264114,8.399823655636906,34796,2,baseline_lag1
hour,0,0.2790142857142857,0.5131846692584501,67.63731890910226,43.081715380413435,1680,2,baseline_lag24
hour,1,0.24034523809523808,0.4027463930848508,61.22029134309931,43.49361802213337,1680,2,baseline_lag24
hour,2,0.26540952380952376,0.45571875725526784,68.72646280231406,45.59896266611392,1680,2,baseline_lag24
hour,3,0.23724105011933178,0.47824774139348675,59.83504562463119,40.85975257725594,1676,2,baseline_lag24
hour,4,0.2419358024691358,0.440404292373202,62.84670884703903,44.151987322332076,1620,2,baseline_lag24
hour,5,0.27835432098765434,0.4855033762962537,81.5403439010671,50.30311899101706,1620,2,baseline_lag24
hour,6,0.4402037037037037,0.735252161330207,62.6987157211128,59.869940785680754,1620,2,baseline_lag24
hour,7,0.5563728395061729,0.836078872763498,41.533608533628524,43.32561744703272,1620,2,baseline_lag24
hour,8,0.3824888888888889,0.6024625965542704,38.02576309321417,28.978885421953173,1620,2,baseline_lag24
hour,9,0.44635679012345675,0.7148650032275368,85.38736603426281,41.80020397022206,1620,2,baseline_lag24
hour,10,0.5445987654320987,0.9374877763812163,104.66231863617372,51.81172306885677,1620,2,baseline_lag24
hour,11,0.4892679012345679,0.8377074167329442,78.3431279996966,50.79456552093172,1620,2,baseline_lag24
hour,12,0.5818802469135803,0.9473218142495645,80.3677674425369,52.55782534402744,1620,2,baseline_lag24
hour,13,0.5892049382716049,0.927902091471953,76.59608248460654,52.54469791682389,1620,2,baseline_lag24
hour,14,0.4869024691358025,0.8360903829102818,81.0350699949955,48.05376571726801,1620,2,baseline_lag24
hour,15,0.4465382716049383,0.8246474023918373,84.98258865975613,43.3504195731658,1620,2,baseline_lag24
hour,16,0.3736654320987654,0.6839606244532422,62.859361520370335,43.61694592675467,1620,2,baseline_lag24
hour,17,0.40986049382716044,0.7199208306953868,60.2581222029293,45.04116088145134,1620,2,baseline_lag24
hour,18,0.6422185185185185,0.9960452329953893,79.27823776453286,58.80396884228143,1620,2,baseline_lag24
hour,19,0.7061580246913581,1.0614071163633052,69.43208954898282,52.05724988677236,1620,2,baseline_lag24
hour,20,0.7754456790123456,1.096636704532725,44.52782285184339,46.86270154512507,1620,2,baseline_lag24
hour,21,0.6121135802469136,0.9352775358875046,36.6717192756953,29.660705542001292,1620,2,baseline_lag24
hour,22,0.5970047675804528,0.8952691114314144,63.51177706706754,39.337663660855384,1678,2,baseline_lag24
hour,23,0.37260357142857137,0.6404348875866267,70.54447693050955,41.03524329951283,1680,2,baseline_lag24
day_of_week,0,0.47496319444444435,0.8062924545239291,66.18893116392326,44.99486064548488,5760,2,baseline_lag24
day_of_week,1,0.4564739583333333,0.7758335781417444,71.03335961218285,46.94765203726146,5760,2,baseline_lag24
day_of_week,2,0.43218541666666666,0.7219366787021945,67.18858384312873,44.50980906197,5760,2,baseline_lag24
day_of_week,3,0.437809375,0.7425775431824537,64.67308941782316,44.971507634444805,5760,2,baseline_lag24
day_of_week,4,0.44499374999999997,0.7932186961992259,64.91546339920421,44.172178329867016,5760,2,baseline_lag24
day_of_week,5,0.4552798459563543,0.7455755290316335,69.37392091616424,46.63277545673966,4674,2,baseline_lag24
day_of_week,6,0.4969034722222222,0.836190163114162,70.05515511725707,47.69018364446436,5760,2,baseline_lag24
month,8,0.4841838666065795,0.7983931575792722,59.94726380622652,44.59661206043317,4438,2,baseline_lag24
month,9,0.45352184159098746,0.773357180592139,68.55851664267126,45.81475716624657,34796,2,baseline_lag24
hour,0,0.011728621901327351,0.019495109131759315,2.8075097105781524,2.8245263262492806,1680,2,random_forest
hour,1,0.009405853355660984,0.01422020853847299,2.7585790331416833,2.7666785401754352,1680,2,random_forest
hour,2,0.009157200124021153,0.013804986764764493,2.8094173439106234,2.8203495573742914,1680,2,random_forest
hour,3,0.008935627083180813,0.013074538549997485,3.018747630028072,3.0209371610244897,1676,2,random_forest
hour,4,0.008564739311210484,0.01416439686928218,2.9762437567427424,2.972966653652622,1620,2,random_forest
hour,5,0.008905319028774505,0.013288125844841197,3.2851473940639404,3.273388747801473,1620,2,random_forest
hour,6,0.011730257599526117,0.019137263817909603,3.0650767941778656,3.05586872984604,1620,2,random_forest
hour,7,0.016931805911059045,0.02650562884370072,1.8376542620239082,1.7890316785627465,1620,2,random_forest
hour,8,0.011597021128068237,0.018860869620724273,1.142218375487404,1.1293492470361135,1620,2,random_forest
hour,9,0.013290744499157067,0.02413401162500047,1.988407574211531,1.9716960718476193,1620,2,random_forest
hour,10,0.016087267076099986,0.030091249289376926,2.7513010203726895,2.7021145359215524,1620,2,random_forest
hour,11,0.016077058579464575,0.03318120868744761,2.6363571020415613,2.5873718412452784,1620,2,random_forest
